,MSISDN/Number,Avg Throughput (kbps)
48625,33662459797.0,0.0
40785,33660615626.0,0.0
41354,33660736208.0,0.0
41946,33660874647.0,0.0
42132,33660916790.0,0.0
42800,33661089447.0,0.0
45265,33661708210.0,0.0
47497,33662203388.0,0.0
47682,33662244588.0,0.0
48007,33662321955.0,0.0
