,Avg TCP Retransmission (Bytes),Frequency,Occurrences
0,10784786.467576498,55974,55974
1,10405604.135170965,367,367
2,10405622.135170965,167,167
3,380494.33240553306,145,145
4,10595195.301373731,82,82
5,10405616.135170965,81,81
6,381159.33240553306,78,78
7,379875.33240553306,78,78
8,379848.33240553306,70,70
9,10406287.135170965,65,65
