,session_frequency,total_duration,total_download,total_upload,total_traffic
session_frequency,1.0,0.7660891601514481,0.783801712325758,0.9283129989572378,0.8088289072109658
total_duration,0.7660891601514481,1.0,0.6013681901788154,0.7102662928623474,0.620426740966375
total_download,0.783801712325758,0.6013681901788154,1.0,0.7270848217223084,0.9987591195555816
total_upload,0.9283129989572378,0.7102662928623474,0.7270848217223084,1.0,0.7603739171981397
total_traffic,0.8088289072109658,0.620426740966375,0.9987591195555816,0.7603739171981397,1.0
