,MSISDN/Number,Avg TCP Retransmission (Bytes)
47144,33662116938.0,184383727.0
58387,33665011274.0,184223096.33240554
59734,33665370471.0,183063798.0
96372,33761797502.0,181911326.5
22440,33648864136.0,181106307.0
23388,33650107786.0,179640803.5
31320,33658489664.0,177817457.5
59038,33665188241.0,176603771.5
68197,33668151639.0,175812334.5
65059,33667141136.0,172678475.0
