,Handset Type,Average Throughput (kbps)
127,Asustek Asus Zenfone 3 Laser Zc551Kl,7066.5
128,Asustek Asus Zenfone 3 Max Zc520Tl,8854.387538794326
129,Asustek Asus Zenfone 3 Ze520Kl,9522.666666666666
130,Asustek Asus Zenfone 3 Ze552Kl,3062.277777777778
131,Asustek Asus Zenfone 4 Max Zc554Kl,17760.029411764706
132,Asustek Asus Zenfone 4 Selfie Zd553Kl,6794.916666666667
133,Asustek Asus Zenfone 4 Ze554Kl,6815.0
134,Asustek Asus Zenfone 5 Lite Zc600Kl,7772.0
135,Asustek Asus Zenfone 5 Ze620Kl,9981.214285714286
136,Asustek Asus Zenfone Go Zb500Kl,9536.233333333334
137,Asustek Asus Zenfone Live Zb501Kl,7399.125
138,Asustek Asus Zenfone Live Zb553Kl,701.5
139,Asustek Asus Zenfone Max Plus Zb570Tl,8884.161764705883
140,Asustek Asus Zenfone Max Pro Zb631Kl,5361.916666666667
141,Asustek Asus Zenfone Max Zc550Kl,5343.5
142,Asustek Asus Zenfone Selfie Zd551Kl,13792.5
143,Asustek Asus Zenfone Zoom S Ze553Kl,12678.416666666666
144,Asustek Asus Zenfone Zoom Zx551Ml,6781.0
145,Asustek Asus Zenfone2 Laser Ze600Kl,15332.7
146,Asustek Asus Zenfone2 Laser Ze601Kl,4309.375
147,Asustek Asus Zenfone2 Ze551Ml,21575.0
148,Asustek Asus Zenfone4 Max Zc520Kl,9213.08458745614
149,Asustek Asus Zs620Kl Zenfone 5Z,15783.0
150,Asustek Asus_Z00Ad,11846.9375
151,Asustek Asus_Z00D,19779.0
152,Asustek Wireless-Ac1200 Lte Router,11976.26787125
153,Asustek Zc550Kl Zenfone Max,3826.25
154,Asustek Zenfone 4 Selfie Pro,6698.5625
155,Asustek Zenfone Max Pro(M1),9851.25
156,Asustek Zenfone Max Zc550Kl,7272.0
157,Avenir Telecom Pm550S,1231.75
158,Beijing Shenqi T. Z2 Pro,19812.5
159,Bird L8,16898.5
160,Blu Products Inc Blu R1 Plus,2118.0
161,Blu Products Inc Blu Studio C 5+5,791.0
162,Bullitt Group Li. Cat S30,4640.5
163,Bullitt Group Li. S41,641.5
164,Bullitt Group Li. S60,2798.5
165,Bullitt Group Li. S61,3288.0
166,Casper Bilgisaya. Via M1,3711.5
167,China Trade Grou. Ed1,7243.5
168,Cisco Systems In. Cisco Mc7304,121.5
169,Civicom Technolo. European,13390.0
170,Ck Telecom Limit. M1,243.5
171,Compal Electroni. Cat B15Q,3547.5
172,Concox Informati. Concox Gt06 Gt06N Tr06,1.0
173,Concox Informati. Gt06,1.5
174,Concox Informati. Gt06E Gt06F Gv20,1.75
175,Concox Informati. Jh09,563.0
176,Crosscall Action-X3,4133.79347826087
177,Crosscall Action-X3 Pro,7069.875
178,Crosscall Core-X3,8520.3125
179,Crosscall Odyssey-S1,239.875
180,Crosscall Trekker-M1,8777.75
181,Crosscall Trekker-M1 Core,5504.630208333333
182,Crosscall Trekker-X3,10049.25
183,Crosscall Trekker-X4,8711.50328047619
184,D-Link Corporati. D-Link Dwr-921,10696.558040416667
185,D-Link Corporati. D-Link Lte Usb Adaptor,1541.821441111111
186,D-Link Corporati. Dwr-921,13893.9375
187,D-Link Corporati. Dwr-932,1506.0
188,D-Link Corporati. Dwr-953,114.5
189,Ddm Brands Llc Andy 4.5El Lte,2129.75
190,Ddm Brands Llc Andy 4Ei2,213.0
191,Ddm Brands Llc Andy 5Ei3,1219.0
192,Ddm Brands Llc Andy 5El Lte,84.0
193,Ddm Brands Llc Andy C5V,5957.0
194,Ddm Brands Llc Energy S550,11806.0
195,Ddm Brands Llc Yezz Andy 5.5Ei,2773.5
196,Ddm Brands Llc Yezz Andy A6M,148.5
197,Dg Homtom Group. Homtom H50,9371.75
198,Dg Homtom Group. Homtom Ht16,346.0
199,Dg Homtom Group. Homtom Ht3,11553.0
200,Dn Electronics Danew Konnect 350,4935.818181818182
201,Dn Electronics Surnaturel R500,700.3333333333334
202,Doke Communicati. Blackview Bv6800 Pro,36729.5
203,Doro Ab Doro 6520 Doro 6521,22.25
204,Doro Ab Doro 6530 Doro 6531,22.0
205,Doro Ab Doro 8030 Doro 8028 Doro 8031,1198.5
206,Doro Ab Doro 8030 Doro 8028 Doro 8031 Doro 8030C Doro 8031C,4534.961538461538
207,Doro Ab Doro 8040,522.5
208,Doro Ab Doro Liberto 820,448.0
209,Doro Ab Doro Liberto 822 Doro 8031,576.5
210,Doro Ab Doro Liberto 825,2866.25
211,Doro Ab Doro Phoneeasy 632,23.0
212,Dynamic Tech Hol. D-Mobile I3 I5 I7 I8 I9,128.16666666666666
